Title,URL
The saddest "Just Ship It" story ever (2020),https://www.kitze.io/posts/saddest-just-ship-it-story-ever
Building a data compression utility in Haskell using Huffman codes,https://lazamar.github.io/haskell-data-compression-with-huffman-codes/
Sans-IO: The secret to effective Rust for network services,https://www.firezone.dev/blog/sans-io
Show HN: Xcapture-BPF – like Linux top, but with Xray vision,https://0x.tools/
Should this be a map or 500 maps?,https://escapethealgorithm.substack.com/p/should-this-be-a-map-or-500-maps
The Origins of DS_store (2006),https://www.arno.org/on-the-origins-of-ds-store
Beating NumPy matrix multiplication in 150 lines of C,https://salykova.github.io/matmul-cpu
The Joy of Reading Books You Don't Understand,https://reactormag.com/the-joy-of-reading-books-you-dont-entirely-understand/
Diffusion Forcing: Next-Token Prediction Meets Full-Sequence Diffusion,https://boyuan.space/diffusion-forcing/
Well-known paradox of R-squared is still buggin me,https://statmodeling.stat.columbia.edu/2024/06/17/this-well-known-paradox-of-r-squared-is-still-buggin-me-can-you-help-me-out/
